,Date,SellPrices,Trades
22,2020-07-22,"[37454.0, 5100.0, 4433.0, 10700.0, 8520.0]","{'A012790': 33514.0, 'A065650': 4810.0, 'A061250': 4266.0, 'A044490': 10650.0, 'A036890': 8780.0}"
23,2020-07-23,"[3320.0, 11900.0, 51658.0, 3615.0, 12525.0]","{'A223310': 3320.0, 'A053980': 11900.0, 'A012790': 43535.0, 'A068330': 3325.0, 'A206650': 11080.0}"
24,2020-07-24,"[41100.0, 17450.0, 56522.0, 13400.0, 6330.0]","{'A084650': 39250.0, 'A011040': 14100.0, 'A012790': 56522.0, 'A002800': 11450.0, 'A082210': 6430.0}"
25,2020-07-27,"[24000.0, 2940.0, 16200.0, 3565.0, 16379.0]","{'A166480': 23400.0, 'A074430': 2805.0, 'A011040': 17300.0, 'A018620': 3400.0, 'A206650': 15368.0}"
26,2020-07-28,"[128200.0, 26500.0, 5900.0, 16350.0, 2025.0]","{'A183490': 127000.0, 'A043150': 26500.0, 'A950130': 5030.0, 'A170920': 14400.0, 'A217600': 1985.0}"
27,2020-07-29,"[4400.0, 901.0, 3360.0, 9980.0, 3225.0]","{'A115160': 3999.0, 'A101390': 897.0, 'A028080': 3300.0, 'A042370': 7890.0, 'A047080': 3275.0}"
28,2020-07-30,"[4370.0, 11300.0, 15575.0, 6400.0, 5682.0]","{'A047080': 4255.0, 'A042370': 10250.0, 'A225220': 14824.0, 'A054210': 5860.0, 'A036690': 5545.0}"
29,2020-07-31,"[7890.0, 46150.0, 2645.0, 20300.0, 55200.0]","{'A225530': 7020.0, 'A253840': 40850.0, 'A036710': 2310.0, 'A222800': 19650.0, 'A084650': 53800.0}"
30,2020-08-03,"[28000.0, 11100.0, 11250.0, 57000.0, 2960.0]","{'A120240': 24050.0, 'A950130': 8810.0, 'A038460': 8680.0, 'A253840': 52000.0, 'A038340': 2990.0}"
31,2020-08-04,"[11450.0, 23788.0, 28568.0, 26000.0, 17850.0]","{'A950130': 11450.0, 'A225220': 22837.0, 'A206650': 26159.0, 'A038390': 21300.0, 'A205470': 16600.0}"
32,2020-08-05,"[3000.0, 6130.0, 1750.0, 15500.0, 10000.0]","{'A217600': 2730.0, 'A284620': 5950.0, 'A137940': 1805.0, 'A238120': 14150.0, 'A156100': 10150.0}"
33,2020-08-06,"[9650.0, 15237.0, 14100.0, 5859.0, 2026.0]","{'A196490': 8925.0, 'A185490': 15100.0, 'A196300': 13250.0, 'A036690': 5928.0, 'A072520': 1852.0}"
34,2020-08-07,"[62600.0, 8296.0, 8790.0, 7410.0, 7750.0]","{'A036830': 59800.0, 'A110020': 7559.0, 'A097870': 9150.0, 'A067310': 7250.0, 'A053300': 7840.0}"
35,2020-08-10,"[4105.0, 711.0, 26700.0, 6150.0, 11900.0]","{'A019770': 3445.0, 'A065500': 677.0, 'A088800': 26050.0, 'A078590': 5770.0, 'A050960': 11000.0}"
36,2020-08-11,"[4850.0, 6610.0, 16000.0, 4470.0, 8120.0]","{'A256840': 4110.0, 'A054410': 5090.0, 'A950130': 17200.0, 'A024940': 4595.0, 'A222080': 7810.0}"
37,2020-08-12,"[5360.0, 10150.0, 6680.0, 6300.0, 8590.0]","{'A068330': 4920.0, 'A318000': 9410.0, 'A001840': 6680.0, 'A263770': 5750.0, 'A054410': 6610.0}"
38,2020-08-13,"[9000.0, 2105.0, 2610.0, 17200.0, 7020.0]","{'A054410': 8590.0, 'A014940': 1955.0, 'A008290': 2520.0, 'A104620': 16950.0, 'A068330': 6390.0}"
39,2020-08-14,"[51065.0, 3950.0, 10075.0, 8310.0, 4550.0]","{'A028300': 51215.0, 'A028080': 4120.0, 'A067630': 10425.0, 'A013810': 8340.0, 'A203450': 4605.0}"
40,2020-08-18,"[33500.0, 861.0, 2025.0, 9870.0, 6360.0]","{'A950130': 29500.0, 'A029480': 812.0, 'A058400': 2210.0, 'A057030': 8300.0, 'A096690': 6940.0}"
41,2020-08-19,"[23606.0, 15600.0, 236944.0, 7600.0, 3245.0]","{'A206650': 21920.0, 'A250000': 14950.0, 'A086900': 221969.0, 'A065950': 7600.0, 'A258790': 2980.0}"
42,2020-08-20,"[7789.0, 3500.0, 9540.0, 15000.0, 1495.0]","{'A089530': 7461.0, 'A178780': 3185.0, 'A013810': 9800.0, 'A217820': 14100.0, 'A269620': 1150.0}"
43,2020-08-21,"[4455.0, 1943.0, 3775.0, 4619.0, 2800.0]","{'A109610': 4137.0, 'A269620': 1495.0, 'A057880': 2905.0, 'A225430': 4480.0, 'A082850': 2800.0}"
44,2020-08-24,"[2524.0, 3635.0, 4700.0, 1910.0, 15050.0]","{'A269620': 1943.0, 'A115480': 3470.0, 'A057880': 3775.0, 'A054940': 1660.0, 'A067170': 14550.0}"
45,2020-08-25,"[3685.0, 1718.0, 4905.0, 3281.0, 3650.0]","{'A072520': 3371.0, 'A054180': 1323.0, 'A057880': 4905.0, 'A269620': 2524.0, 'A217600': 3325.0}"
46,2020-08-26,"[8300.0, 3281.0, 5490.0, 8570.0, 1000.0]","{'A131220': 7150.0, 'A269620': 3281.0, 'A044480': 4790.0, 'A068330': 7940.0, 'A051980': 942.0}"
47,2020-08-27,"[8840.0, 5090.0, 6830.0, 6200.0, 12550.0]","{'A130500': 8840.0, 'A197140': 5400.0, 'A150900': 6140.0, 'A034940': 6640.0, 'A187420': 9680.0}"
48,2020-08-28,"[465.0, 18950.0, 8700.0, 3305.0, 31500.0]","{'A900110': 390.0, 'A131370': 19550.0, 'A042500': 7910.0, 'A016920': 2545.0, 'A206640': 29150.0}"
49,2020-08-31,"[10400.0, 4510.0, 659.0, 2235.0, 15200.0]","{'A014970': 9230.0, 'A124560': 4420.0, 'A900110': 507.0, 'A114120': 1950.0, 'A187420': 16300.0}"
50,2020-09-01,"[1494.0, 695.0, 3160.0, 15500.0, 11000.0]","{'A053060': 1359.0, 'A050090': 715.0, 'A048870': 2950.0, 'A142280': 13450.0, 'A047920': 8910.0}"
51,2020-09-02,"[3680.0, 1927.0, 5900.0, 32500.0, 2700.0]","{'A039670': 3680.0, 'A053060': 1765.0, 'A238090': 5610.0, 'A053610': 28050.0, 'A114120': 2545.0}"
52,2020-09-03,"[11300.0, 3413.0, 1345.0, 2605.0, 11300.0]","{'A073110': 11900.0, 'A269620': 3582.0, 'A049080': 1310.0, 'A037330': 2635.0, 'A067630': 11450.0}"
53,2020-09-04,"[14750.0, 21900.0, 10150.0, 5100.0, 17300.0]","{'A018680': 13650.0, 'A226330': 18850.0, 'A007370': 10000.0, 'A057880': 5550.0, 'A080720': 18300.0}"
54,2020-09-07,"[9460.0, 5980.0, 24500.0, 6480.0, 3168.0]","{'A033200': 7280.0, 'A018000': 5980.0, 'A226330': 24500.0, 'A060370': 5730.0, 'A307750': 2902.0}"
55,2020-09-08,"[10524.0, 1390.0, 26150.0, 12250.0, 7860.0]","{'A053280': 9869.0, 'A215090': 1300.0, 'A086390': 23200.0, 'A033200': 9460.0, 'A057880': 7860.0}"
56,2020-09-09,"[3735.0, 2550.0, 7850.0, 5440.0, 21950.0]","{'A080420': 3340.0, 'A047820': 2345.0, 'A238090': 8040.0, 'A022100': 5520.0, 'A080720': 22400.0}"
57,2020-09-10,"[4165.0, 3500.0, 3610.0, 37000.0, 7000.0]","{'A099220': 3640.0, 'A031510': 3185.0, 'A006050': 3300.0, 'A049950': 35650.0, 'A033310': 6530.0}"
58,2020-09-11,"[1205.0, 31000.0, 3110.0, 10000.0, 12100.0]","{'A045890': 1105.0, 'A217330': 28850.0, 'A081580': 2895.0, 'A054450': 10200.0, 'A038870': 10950.0}"
59,2020-09-14,"[61900.0, 1800.0, 10000.0, 15450.0, 7840.0]","{'A032685': 57200.0, 'A217620': 1755.0, 'A033310': 8560.0, 'A106190': 14200.0, 'A114450': 7940.0}"
60,2020-09-15,"[6960.0, 11650.0, 4455.0, 11650.0, 1945.0]","{'A170030': 6630.0, 'A136510': 10950.0, 'A118990': 4390.0, 'A080470': 11150.0, 'A064510': 2005.0}"
61,2020-09-16,"[4545.0, 2205.0, 4410.0, 1815.0, 3220.0]","{'A080220': 4290.0, 'A042040': 1995.0, 'A253590': 4150.0, 'A032580': 1760.0, 'A012340': 2760.0}"
62,2020-09-17,"[1900.0, 11950.0, 2520.0, 2500.0, 1985.0]","{'A101680': 1755.0, 'A265560': 10875.0, 'A122690': 2350.0, 'A042040': 2590.0, 'A053050': 1960.0}"
63,2020-09-18,"[5300.0, 28500.0, 5400.0, 6810.0, 31500.0]","{'A048870': 4490.0, 'A241820': 27800.0, 'A065350': 4955.0, 'A290270': 6870.0, 'A217330': 34000.0}"
64,2020-09-21,"[4750.0, 6650.0, 10450.0, 9990.0, 8660.0]","{'A037230': 4530.0, 'A065350': 6440.0, 'A014970': 10650.0, 'A119830': 9700.0, 'A090850': 8800.0}"
65,2020-09-22,"[235.0, 4170.0, 3465.0, 10750.0, 1555.0]","{'A096040': 215.0, 'A042040': 3810.0, 'A267320': 3550.0, 'A033310': 11000.0, 'A020180': 1515.0}"
66,2020-09-23,"[2605.0, 35300.0, 5000.0, 1600.0, 4855.0]","{'A054180': 2305.0, 'A241820': 35100.0, 'A267320': 4615.0, 'A182690': 1475.0, 'A239340': 4650.0}"
67,2020-09-24,"[9500.0, 6530.0, 6120.0, 6270.0, 2510.0]","{'A200230': 9710.0, 'A042600': 6120.0, 'A118990': 5840.0, 'A239340': 6040.0, 'A161570': 2220.0}"
68,2020-09-25,"[6650.0, 4415.0, 2585.0, 1410.0, 6100.0]","{'A042040': 6360.0, 'A046120': 3995.0, 'A082800': 2435.0, 'A123840': 1370.0, 'A036120': 5530.0}"
69,2020-09-28,"[905.0, 5578.0, 5340.0, 328.0, 1540.0]","{'A009730': 905.0, 'A290660': 4294.0, 'A289080': 4820.0, 'A900120': 274.0, 'A032820': 1415.0}"
70,2020-09-29,"[13500.0, 12800.0, 1655.0, 15850.0, 284.0]","{'A219550': 13050.0, 'A094360': 12400.0, 'A029480': 1570.0, 'A054450': 14650.0, 'A096040': 280.0}"
71,2020-10-05,"[978.0, 3455.0, 6300.0, 38100.0, 11300.0]","{'A222810': 828.0, 'A161570': 3425.0, 'A042600': 6430.0, 'A226330': 38900.0, 'A317120': 10650.0}"
72,2020-10-06,"[50000.0, 9950.0, 2990.0, 3770.0, 5230.0]","{'A299660': 50700.0, 'A170030': 9060.0, 'A079950': 3035.0, 'A141070': 3670.0, 'A046120': 5230.0}"
73,2020-10-07,"[8470.0, 4735.0, 5920.0, 2275.0, 13200.0]","{'A079170': 7780.0, 'A109610': 4411.0, 'A267320': 5490.0, 'A052300': 2325.0, 'A051490': 13700.0}"
74,2020-10-08,"[5710.0, 7000.0, 22000.0, 4000.0, 3590.0]","{'A009780': 5570.0, 'A289080': 6940.0, 'A080720': 21050.0, 'A234920': 3910.0, 'A082850': 3665.0}"
75,2020-10-12,"[9450.0, 5720.0, 2120.0, 12350.0, 4165.0]","{'A033200': 8190.0, 'A023790': 5750.0, 'A038530': 1985.0, 'A222110': 11650.0, 'A099220': 4280.0}"
76,2020-10-13,"[35600.0, 3880.0, 3300.0, 8460.0, 15150.0]","{'A950130': 35150.0, 'A052420': 3630.0, 'A060540': 3110.0, 'A118990': 8360.0, 'A108380': 15350.0}"
77,2020-10-14,"[5410.0, 600.0, 7700.0, 5040.0, 3625.0]","{'A099220': 5310.0, 'A096350': 551.0, 'A096610': 7340.0, 'A080420': 4735.0, 'A306620': 3390.0}"
78,2020-10-15,"[2750.0, 9500.0, 1850.0, 16400.0, 5190.0]","{'A299170': 2865.0, 'A122450': 8700.0, 'A052900': 1895.0, 'A033200': 14000.0, 'A042040': 5190.0}"
79,2020-10-16,"[1742.0, 18200.0, 2660.0, 2498.0, 1500.0]","{'A053060': 1625.0, 'A033200': 18200.0, 'A096630': 2500.0, 'A246690': 2364.0, 'A036170': 1545.0}"
80,2020-10-19,"[1680.0, 11225.0, 2200.0, 1138.0, 5830.0]","{'A011370': 1530.0, 'A122450': 11275.0, 'A003310': 2250.0, 'A038620': 1181.0, 'A060370': 6060.0}"
81,2020-10-20,"[9650.0, 2925.0, 2850.0, 4050.0, 2310.0]","{'A114450': 8640.0, 'A103230': 2655.0, 'A041190': 2895.0, 'A217600': 3970.0, 'A078940': 2440.0}"
82,2020-10-21,"[3090.0, 9720.0, 7300.0, 7920.0, 17600.0]","{'A076080': 2710.0, 'A047310': 8900.0, 'A289080': 7220.0, 'A263020': 8000.0, 'A321550': 17400.0}"
83,2020-10-22,"[12450.0, 11650.0, 2045.0, 2050.0, 2430.0]","{'A114450': 11800.0, 'A131220': 10750.0, 'A226440': 2100.0, 'A900310': 2060.0, 'A016920': 2405.0}"
84,2020-10-23,"[4025.0, 2795.0, 5840.0, 1580.0, 12450.0]","{'A041190': 3850.0, 'A021080': 2655.0, 'A025320': 5810.0, 'A123840': 1520.0, 'A131220': 12700.0}"
85,2020-10-26,"[3620.0, 5200.0, 1110.0, 6030.0, 7920.0]","{'A141070': 3510.0, 'A019770': 4585.0, 'A090710': 978.0, 'A115500': 6200.0, 'A289080': 7980.0}"
86,2020-10-27,"[1000.0, 1350.0, 6290.0, 342.0, 5500.0]","{'A050090': 772.0, 'A090710': 1270.0, 'A038010': 5750.0, 'A224060': 318.0, 'A019770': 5850.0}"
87,2020-10-28,"[3280.0, 5320.0, 2595.0, 11550.0, 1045.0]","{'A047770': 3280.0, 'A109610': 5350.0, 'A104040': 2480.0, 'A038460': 10750.0, 'A050090': 1000.0}"
88,2020-10-29,"[399.0, 861.0, 656.0, 1080.0, 6500.0]","{'A900260': 399.0, 'A900300': 807.0, 'A038880': 656.0, 'A024850': 1175.0, 'A019770': 6700.0}"
89,2020-10-30,"[3000.0, 2885.0, 3215.0, 1110.0, 1255.0]","{'A269620': 2695.0, 'A246690': 2741.0, 'A027360': 2940.0, 'A139050': 1025.0, 'A214270': 1220.0}"
90,2020-11-02,"[2980.0, 1080.0, 1200.0, 5030.0, 3250.0]","{'A021045': 2585.0, 'A021040': 1160.0, 'A139050': 1225.0, 'A087260': 5250.0, 'A054090': 3305.0}"
91,2020-11-03,"[528.0, 4030.0, 3530.0, 1265.0, 6850.0]","{'A053110': 451.0, 'A269620': 3520.0, 'A054040': 3520.0, 'A011080': 1330.0, 'A019770': 7110.0}"
92,2020-11-04,"[659.0, 4385.0, 984.0, 3830.0, 4120.0]","{'A045890': 659.0, 'A217600': 4620.0, 'A049630': 898.0, 'A258790': 3395.0, 'A269620': 4295.0}"
93,2020-11-05,"[1720.0, 1675.0, 51100.0, 2570.0, 5950.0]","{'A123840': 1680.0, 'A064510': 1910.0, 'A039200': 51400.0, 'A182690': 2600.0, 'A045390': 6740.0}"
94,2020-11-06,"[10300.0, 930.0, 1275.0, 4195.0, 6700.0]","{'A257370': 9900.0, 'A089230': 778.0, 'A043260': 1375.0, 'A052420': 4055.0, 'A137950': 6640.0}"
95,2020-11-09,"[1350.0, 4730.0, 12600.0, 17500.0, 917.0]","{'A024850': 1355.0, 'A041190': 4720.0, 'A114450': 12550.0, 'A108380': 17000.0, 'A089230': 903.0}"
96,2020-11-10,"[5570.0, 21150.0, 2525.0, 3835.0, 6780.0]","{'A082850': 4600.0, 'A114450': 16300.0, 'A217620': 2610.0, 'A030350': 4055.0, 'A119850': 7180.0}"
97,2020-11-11,"[6010.0, 8350.0, 18350.0, 24800.0, 1080.0]","{'A082850': 5980.0, 'A068330': 8170.0, 'A131220': 16300.0, 'A114450': 21150.0, 'A195990': 1080.0}"
98,2020-11-12,"[3165.0, 38350.0, 7100.0, 27450.0, 18495.0]","{'A079970': 3015.0, 'A120240': 38400.0, 'A085370': 6790.0, 'A114450': 27450.0, 'A087010': 18257.0}"
99,2020-11-13,"[6100.0, 1420.0, 2455.0, 5620.0, 3415.0]","{'A227950': 5850.0, 'A195990': 1390.0, 'A074430': 2390.0, 'A124560': 5650.0, 'A018700': 3370.0}"
100,2020-11-16,"[10500.0, 3900.0, 2790.0, 10050.0, 6870.0]","{'A057030': 9830.0, 'A258790': 3650.0, 'A085810': 2990.0, 'A205470': 9900.0, 'A227950': 6770.0}"
101,2020-11-17,"[7950.0, 2030.0, 4290.0, 9200.0, 4575.0]","{'A130500': 8060.0, 'A090710': 2030.0, 'A048870': 4190.0, 'A215380': 9610.0, 'A037230': 4670.0}"
102,2020-11-18,"[1830.0, 39700.0, 415.0, 19250.0, 4080.0]","{'A060300': 1830.0, 'A120240': 39850.0, 'A900120': 423.0, 'A131220': 19200.0, 'A033540': 4120.0}"
103,2020-11-19,"[1090.0, 2035.0, 1590.0, 13800.0, 12000.0]","{'A036090': 991.0, 'A195990': 1935.0, 'A009620': 1525.0, 'A148140': 13100.0, 'A290510': 10250.0}"
104,2020-11-20,"[2515.0, 16750.0, 31550.0, 1340.0, 1765.0]","{'A195990': 2515.0, 'A086040': 16050.0, 'A084990': 30000.0, 'A036090': 1285.0, 'A032820': 1575.0}"
105,2020-11-23,"[2955.0, 2655.0, 6970.0, 462.0, 17350.0]","{'A041020': 2275.0, 'A254120': 2340.0, 'A239340': 6850.0, 'A036630': 462.0, 'A131370': 16500.0}"
106,2020-11-24,"[1020.0, 21200.0, 3840.0, 1550.0, 517.0]","{'A109960': 950.0, 'A246710': 18900.0, 'A041020': 2955.0, 'A153490': 1415.0, 'A224060': 471.0}"
107,2020-11-25,"[3790.0, 14100.0, 1290.0, 5070.0, 10650.0]","{'A041020': 3840.0, 'A185490': 14418.0, 'A019550': 1190.0, 'A056090': 5350.0, 'A121800': 10200.0}"
108,2020-11-26,"[8020.0, 1750.0, 174835.0, 23900.0, 5240.0]","{'A019770': 7610.0, 'A043260': 1660.0, 'A068760': 168657.0, 'A246960': 23800.0, 'A299170': 5020.0}"
109,2020-11-27,"[11800.0, 6560.0, 7740.0, 2865.0, 55201.0]","{'A130500': 11150.0, 'A067010': 5990.0, 'A042500': 7900.0, 'A115480': 2940.0, 'A226950': 55001.0}"
110,2020-11-30,"[3860.0, 3600.0, 870.0, 21450.0, 10500.0]","{'A083640': 3860.0, 'A319400': 3340.0, 'A058420': 829.0, 'A950180': 16500.0, 'A123040': 9780.0}"
111,2020-12-01,"[25250.0, 11950.0, 2670.0, 19350.0, 10351.0]","{'A950180': 21450.0, 'A194480': 12400.0, 'A226440': 2655.0, 'A217270': 19050.0, 'A106520': 10231.0}"
112,2020-12-02,"[2955.0, 11600.0, 540.0, 2025.0, 1830.0]","{'A254120': 2895.0, 'A033200': 11950.0, 'A900120': 568.0, 'A096640': 1975.0, 'A082660': 1860.0}"
113,2020-12-03,"[8720.0, 8730.0, 3030.0, 975.0, 5910.0]","{'A038010': 8840.0, 'A082850': 8110.0, 'A115610': 2950.0, 'A049470': 882.0, 'A010470': 6020.0}"
114,2020-12-04,"[2295.0, 14000.0, 7660.0, 24000.0, 35500.0]","{'A012860': 2125.0, 'A073110': 13250.0, 'A227950': 7820.0, 'A139670': 22400.0, 'A217270': 33300.0}"
115,2020-12-07,"[111000.0, 14400.0, 10400.0, 29000.0, 5840.0]","{'A237690': 105500.0, 'A025950': 13750.0, 'A053160': 10350.0, 'A139670': 29050.0, 'A032860': 5770.0}"
116,2020-12-08,"[5930.0, 6470.0, 7960.0, 1746.0, 26100.0]","{'A054220': 5930.0, 'A109610': 6240.0, 'A005670': 7500.0, 'A024810': 1719.0, 'A950130': 25250.0}"
117,2020-12-09,"[15000.0, 939.0, 34791.0, 5940.0, 3180.0]","{'A048410': 13650.0, 'A027040': 928.0, 'A042000': 33939.0, 'A149980': 5560.0, 'A001810': 3025.0}"
118,2020-12-10,"[1370.0, 14900.0, 1040.0, 3020.0, 886.0]","{'A007720': 1410.0, 'A299910': 13950.0, 'A050090': 1050.0, 'A076080': 3140.0, 'A038880': 900.0}"
119,2020-12-11,"[3235.0, 6510.0, 9620.0, 5680.0, 6980.0]","{'A046310': 3370.0, 'A032860': 6350.0, 'A066590': 9680.0, 'A149980': 5880.0, 'A220260': 6750.0}"
120,2020-12-14,"[18225.0, 2200.0, 53376.0, 7920.0, 9690.0]","{'A122450': 16975.0, 'A038340': 2315.0, 'A016250': 54314.0, 'A067010': 6990.0, 'A053950': 9580.0}"
121,2020-12-15,"[1510.0, 19250.0, 9430.0, 18900.0, 3180.0]","{'A204840': 1430.0, 'A067170': 18650.0, 'A067010': 9080.0, 'A048410': 19350.0, 'A056080': 3175.0}"
122,2020-12-16,"[3020.0, 11050.0, 2010.0, 1220.0, 14000.0]","{'A322780': 2775.0, 'A138690': 10450.0, 'A036170': 2040.0, 'A050090': 1165.0, 'A214610': 13150.0}"
123,2020-12-17,"[4000.0, 10050.0, 8070.0, 2680.0, 12500.0]","{'A076080': 3665.0, 'A042500': 9630.0, 'A263860': 7600.0, 'A323230': 2720.0, 'A042600': 10950.0}"
124,2020-12-18,"[2127.0, 600.0, 14500.0, 2745.0, 874.0]","{'A054180': 2009.0, 'A064090': 533.0, 'A088390': 13550.0, 'A056000': 2665.0, 'A101390': 900.0}"
125,2020-12-21,"[39550.0, 34150.0, 13500.0, 4825.0, 26050.0]","{'A025950': 30450.0, 'A048410': 34150.0, 'A205470': 12500.0, 'A258790': 4900.0, 'A156100': 24550.0}"
126,2020-12-22,"[21000.0, 11293.0, 91100.0, 7700.0, 51400.0]","{'A053160': 19500.0, 'A307750': 10912.0, 'A000250': 88600.0, 'A045340': 6410.0, 'A025950': 39550.0}"
127,2020-12-23,"[20600.0, 1115.0, 51400.0, 10850.0, 9980.0]","{'A106190': 20150.0, 'A025440': 980.0, 'A025950': 51400.0, 'A039290': 9780.0, 'A110020': 10050.0}"
128,2020-12-24,"[8740.0, 7990.0, 13500.0, 12500.0, 1280.0]","{'A065350': 8340.0, 'A024120': 8220.0, 'A039290': 12700.0, 'A033200': 12000.0, 'A025440': 1270.0}"
129,2020-12-28,"[4205.0, 6820.0, 1780.0, 5290.0, 5840.0]","{'A287410': 3900.0, 'A289080': 6360.0, 'A126640': 1870.0, 'A015750': 5220.0, 'A319400': 5390.0}"
130,2020-12-29,"[13000.0, 1000.0, 4945.0, 8140.0, 9520.0]","{'A077360': 13150.0, 'A084180': 1027.0, 'A067770': 4530.0, 'A065350': 8010.0, 'A134060': 9520.0}"
131,2020-12-30,"[15950.0, 2200.0, 9860.0, 5240.0, 4630.0]","{'A065620': 15950.0, 'A046390': 2080.0, 'A110990': 9590.0, 'A078590': 5040.0, 'A122350': 4410.0}"
132,2021-01-04,"[11600.0, 42750.0, 11450.0, 23800.0, 5920.0]","{'A065350': 10600.0, 'A033640': 42500.0, 'A067310': 11350.0, 'A215360': 23800.0, 'A319400': 5890.0}"
133,2021-01-05,"[4700.0, 118800.0, 74800.0, 5050.0, 17425.0]","{'A093380': 4290.0, 'A144510': 119700.0, 'A293780': 66000.0, 'A092300': 4630.0, 'A080580': 17075.0}"
134,2021-01-06,"[16400.0, 33450.0, 48150.0, 25000.0, 22250.0]","{'A225570': 14950.0, 'A278650': 32300.0, 'A025950': 46500.0, 'A080580': 22000.0, 'A053160': 23350.0}"
135,2021-01-07,"[3670.0, 1960.0, 17850.0, 22900.0, 1155.0]","{'A074430': 3405.0, 'A121850': 1850.0, 'A038070': 17850.0, 'A050960': 17650.0, 'A065500': 1090.0}"
