,Date,SellPrices,Trades
99,2016-11-15,"[5850.0, 7530.0, 7530.0, 5530.0, 8150.0]","{'A037030': 5850.0, 'A038010': 6990.0, 'A044060': 7470.0, 'A090150': 5430.0, 'A154040': 8240.0}"
100,2016-11-16,"[5567.0, 1975.0, 13350.0, 7100.0, 3800.0]","{'A053580': 5021.0, 'A064090': 2050.0, 'A069510': 12450.0, 'A220180': 8350.0, 'A222420': 3800.0}"
101,2016-11-17,"[12914.0, 1093.0, 10600.0, 56100.0, 2180.0]","{'A032860': 11984.0, 'A043100': 994.0, 'A053160': 9880.0, 'A096690': 51776.0, 'A214270': 2135.0}"
102,2016-11-18,"[3448.0, 9950.0, 11000.0, 5950.0, 4770.0]","{'A007530': 3496.0, 'A025950': 8970.0, 'A037460': 11150.0, 'A045340': 5290.0, 'A046110': 4990.0}"
103,2016-11-21,"[10750.0, 3055.0, 67320.0, 5325.0, 10300.0]","{'A025950': 10900.0, 'A037030': 6000.0, 'A096690': 64310.0, 'A177830': 5125.0, 'A214310': 10300.0}"
104,2016-11-22,"[9430.0, 2870.0, 5759.0, 2610.0, 850.0]","{'A079170': 9890.0, 'A081150': 2810.0, 'A083550': 5869.0, 'A214270': 2600.0, 'A234100': 747.0}"
105,2016-11-23,"[1278.0, 2430.0, 5640.0, 6100.0, 3242.0]","{'A019590': 1212.0, 'A037400': 2360.0, 'A049120': 5460.0, 'A091340': 5650.0, 'A208140': 3203.0}"
106,2016-11-24,"[8430.0, 2700.0, 2821.0, 4530.0, 888.0]","{'A019770': 8150.0, 'A020180': 2730.0, 'A050890': 2889.0, 'A130740': 4530.0, 'A234100': 977.0}"
107,2016-11-25,"[3240.0, 4688.0, 10500.0, 1058.0, 2740.0]","{'A001840': 3275.0, 'A007390': 4325.0, 'A053160': 10650.0, 'A115530': 843.0, 'A222810': 2740.0}"
108,2016-11-28,"[13600.0, 1500.0, 14200.0, 1128.0, 4374.0]","{'A053160': 13800.0, 'A065420': 1490.0, 'A069330': 14180.0, 'A115530': 1094.0, 'A130500': 4391.0}"
109,2016-11-29,"[5270.0, 4470.0, 29900.0, 1353.0, 2325.0]","{'A006910': 5250.0, 'A019660': 4405.0, 'A065620': 29900.0, 'A073640': 1401.0, 'A224060': 2315.0}"
110,2016-11-30,"[2520.0, 5370.0, 61847.0, 3764.0, 1459.0]","{'A037030': 2425.0, 'A048410': 5140.0, 'A096690': 60752.0, 'A204840': 3641.0, 'A230980': 1429.0}"
111,2016-12-01,"[1111.0, 60186.0, 5720.0, 2820.0, 3120.0]","{'A043100': 1107.0, 'A084990': 62017.0, 'A091440': 5410.0, 'A214270': 2820.0, 'A224060': 2940.0}"
112,2016-12-02,"[3799.0, 5100.0, 3378.0, 3880.0, 3515.0]","{'A050890': 3570.0, 'A052600': 5210.0, 'A084180': 2977.0, 'A101000': 3999.0, 'A224060': 3480.0}"
113,2016-12-05,"[6770.0, 3290.0, 1500.0, 5800.0, 1280.0]","{'A031860': 6700.0, 'A037230': 2885.0, 'A060230': 1575.0, 'A067730': 5860.0, 'A115530': 1176.0}"
114,2016-12-06,"[9570.0, 4175.0, 4620.0, 874.0, 3100.0]","{'A019770': 9590.0, 'A032080': 4155.0, 'A060480': 4495.0, 'A072520': 761.0, 'A094970': 2975.0}"
115,2016-12-07,"[831.0, 5820.0, 4000.0, 4740.0, 2320.0]","{'A036630': 794.0, 'A053290': 5740.0, 'A069920': 3955.0, 'A133750': 4790.0, 'A214680': 2350.0}"
116,2016-12-08,"[3357.0, 5570.0, 2470.0, 4001.0, 2615.0]","{'A039980': 3257.0, 'A047920': 5750.0, 'A057540': 2455.0, 'A065150': 4061.0, 'A189330': 2540.0}"
117,2016-12-09,"[4390.0, 4387.0, 6234.0, 12550.0, 799.0]","{'A017250': 4150.0, 'A024810': 4475.0, 'A028300': 6168.0, 'A054780': 12900.0, 'A234100': 940.0}"
118,2016-12-12,"[5500.0, 7560.0, 2040.0, 2675.0, 4750.0]","{'A025880': 5390.0, 'A049120': 7300.0, 'A085670': 2040.0, 'A104040': 2460.0, 'A189860': 4850.0}"
119,2016-12-13,"[7830.0, 7000.0, 7610.0, 2980.0, 5350.0]","{'A014200': 7510.0, 'A030350': 6930.0, 'A065060': 7510.0, 'A104040': 2990.0, 'A134580': 5340.0}"
