Date,Close,Open,High,Low,Volume,Change
2013-12-19,180.22,177.88,180.54,177.88,5930000.0,0.0085
2013-12-20,180.02,180.12,182.0,180.02,7660000.0,-0.0011
2013-12-23,182.23,181.05,182.93,180.61,4080000.0,0.0123
2013-12-24,183.22,181.96,183.5,181.91,1610000.0,0.0054
2013-12-26,185.35,183.56,185.56,183.51,3330000.0,0.0116
2013-12-27,185.08,185.84,186.5,184.56,3380000.0,-0.0015
2013-12-30,186.41,185.32,186.7,184.67,3020000.0,0.0072
2013-12-31,187.57,186.49,187.79,186.3,3620000.0,0.0062
2014-01-02,185.53,187.21,187.4,185.2,4550000.0,-0.0109
2014-01-03,186.64,185.83,187.35,185.3,4059999.9999999995,0.006
2014-01-06,186.0,187.15,187.35,185.3,4070000.0000000005,-0.0034000000000000002
2014-01-07,189.71,186.39,190.35,186.38,5930000.0,0.0199
2014-01-08,187.97,189.33,189.42,187.26,4600000.0,-0.0092
2014-01-09,187.38,189.02,189.5,186.55,4320000.0,-0.0031
2014-01-10,187.26,188.31,188.57,186.28,4019999.9999999995,-0.0006
2014-01-13,184.16,186.26,186.95,183.86,5790000.0,-0.0166
2014-01-14,185.92,185.06,186.43,183.88,4620000.0,0.0096
2014-01-15,187.74,185.82,188.65,185.49,4830000.0,0.0098
2014-01-16,188.76,187.53,188.99,186.8,4780000.0,0.0054
2014-01-17,190.09,188.04,190.81,187.86,7670000.0,0.006999999999999999
2014-01-21,188.43,190.23,190.39,186.79,11120000.0,-0.0087
2014-01-22,182.25,181.28,183.5,179.67,13800000.0,-0.032799999999999996
2014-01-23,182.73,181.43,183.72,180.71,6970000.0,0.0026
2014-01-24,179.64,181.25,182.81,179.64,6940000.0,-0.0169
2014-01-27,177.9,179.6,179.65,177.66,5210000.0,-0.0097
2014-01-28,176.85,178.05,178.45,176.16,5340000.0,-0.0059
2014-01-29,176.4,175.98,178.53,175.89,4970000.0,-0.0025
2014-01-30,177.36,177.17,177.86,176.36,4850000.0,0.0054
2014-01-31,176.68,176.11,177.84,175.34,5200000.0,-0.0038
2014-02-03,172.9,176.02,176.02,172.72,7190000.0,-0.021400000000000002
2014-02-04,172.84,173.53,173.75,172.36,4350000.0,-0.0003
2014-02-05,174.24,172.19,174.97,172.19,4710000.0,0.008100000000000001
2014-02-06,174.67,173.97,174.85,173.79,4290000.0,0.0025
2014-02-07,177.25,175.64,177.56,175.07,4730000.0,0.0148
2014-02-10,177.14,176.97,177.65,176.25,3540000.0,-0.0006
2014-02-11,179.7,176.81,180.39,176.8,4650000.0,0.014499999999999999
2014-02-12,180.24,179.52,181.25,179.26,3980000.0,0.003
2014-02-13,181.84,178.22,182.36,177.86,4480000.0,0.0089
2014-02-14,183.69,181.26,184.43,180.99,4670000.0,0.0102
2014-02-18,183.19,183.18,184.0,182.32,4440000.0,-0.0027
2014-02-19,182.95,182.74,185.65,182.41,4670000.0,-0.0013
2014-02-20,184.26,182.96,184.86,182.79,4970000.0,0.0072
2014-02-21,182.79,184.25,185.71,182.62,5700000.0,-0.008
2014-02-24,183.45,182.82,185.16,182.82,4600000.0,0.0036
2014-02-25,183.23,183.52,184.6,182.88,3900000.0,-0.0012
2014-02-26,184.06,183.94,185.28,183.56,3740000.0,0.0045000000000000005
2014-02-27,185.27,183.83,185.95,183.81,3830000.0,0.0066
2014-02-28,185.17,185.38,186.12,183.65,4670000.0,-0.0005
2014-03-03,184.26,183.33,184.64,182.82,3950000.0,-0.0049
2014-03-04,186.44,185.81,187.16,185.68,4730000.0,0.0118
2014-03-05,187.14,186.57,187.95,186.4,3490000.0,0.0038
2014-03-06,187.64,187.37,188.39,186.9,3820000.0,0.0027
2014-03-07,187.68,188.35,188.92,187.18,4120000.0,0.0002
2014-03-10,186.39,187.55,188.37,185.85,4590000.0,-0.0069
2014-03-11,186.76,187.41,188.45,186.04,4230000.0,0.002
2014-03-12,186.22,186.01,187.45,185.89,4830000.0,-0.0029
2014-03-13,183.9,186.41,187.0,183.71,4910000.0,-0.0125
2014-03-14,182.21,183.89,184.29,182.21,5490000.0,-0.0092
2014-03-17,185.81,182.66,186.35,182.66,4940000.0,0.019799999999999998
2014-03-18,186.81,185.99,187.9,185.54,3960000.0,0.0054
2014-03-19,184.71,185.6,186.7,183.5,4320000.0,-0.011200000000000002
2014-03-20,187.9,184.47,188.26,184.17,5060000.0,0.0173
2014-03-21,186.67,188.5,188.7,186.4,12540000.0,-0.006500000000000001
2014-03-24,188.25,187.43,189.44,187.37,5740000.0,0.0085
2014-03-25,195.04,188.76,195.4,188.7,10910000.0,0.0361
2014-03-26,192.62,194.98,195.63,191.96,6850000.0,-0.0124
2014-03-27,189.83,191.91,192.67,189.32,6770000.0,-0.014499999999999999
2014-03-28,190.45,189.94,192.62,189.11,5190000.0,0.0033
2014-03-31,192.49,191.64,193.77,191.4,8540000.0,0.010700000000000001
2014-04-01,194.5,193.12,195.13,192.78,5400000.0,0.0104
2014-04-02,193.55,194.24,194.5,192.49,4920000.0,-0.0049
2014-04-03,192.69,193.2,193.38,192.35,4090000.0,-0.0044
2014-04-04,191.77,193.12,193.97,191.28,6090000.0,-0.0048
2014-04-07,194.52,191.72,195.31,191.57,6750000.0,0.0143
